ID,Label
Z3A6QU9xcFRPSHFIUnItU2luNzRzQzc4YWxLeW9hRF9ubXg4dFl5bkZwNF9FUTE3QjBUdFk3dWFFYTNpMGxjb1M5clpoZzUxRHYxVHY0djlXRXZzQWNYZFE , 0 
Z3A6QU9xcFRPSHV6WlFEOG5va3F4a0M0cW5nUGluWkh2UDVNUGNEaEhWQVMzVTU5aVZQSzB5WUJZQmYteDFNSDNfbkF0SFp2XzVSMk1xTm9uZ1pDOFJ4UWc , 1 
3A6QU9xcFRPRjJWTFBXYk94LWRfOS1CVzdoZ0IzblNtdUpFTlMwRjhyUGNSa1U2eHZqelBkQWpVVTFoY3V0eVVDZnhUVkxXRDdsUVV4bFZQOU5FZExsWnhz , 1 
Id=Z3A6QU9xcFRPRUt5YXZETGpPajJzR0ExUjdFdlBJemxUTkg5Q3dZVC1NZl9HdGhhNEI4YWNnTy05OVlyZGo5Y21SakhRT3hibUlUTWk0eTNnQjk3Sk9k , 1 
3A6QU9xcFRPRmhJTWpqdVFITmx2WXpqQ09Sek5melpiQXNpZ3RkaFNDZVpXYnlJSUNPQXVjQUtNT3JodFNFYktUUGVUdV9tVWk4OTRFOGdZc3lXb2VnWGpr , 1 
Id=Z3A6QU9xcFRPSFBUNU4tWVZuT0Vxcno3THltdzV2VWhOMUlTTXU3dU8xUGc0STlYVG0wOXhaTjM4eldzdHQ2YTEydkw0bVVnczc2Z0Y2OVFTVDYzZzhj , 0 
Z3A6QU9xcFRPRlFfSFhZRnR6SFI3OXlFTE10VXp4QjNWLW8zbHVkWWVqanVaNEJVS0hzb0hPYlJ2TzlDN0lQdjZ3WXphamlDTm9xVVFUUjZZck1xQ3A0emc , 1 
3A6QU9xcFRPR1k1STEwbS1DcG54bnFmWUFXLW9HQ0dvZ1JwM0VTSUVXRjkyZ2xVZ1BIdGhLNFpRWmRXaG9jc1VxUHRGWGk4T1BrZ05TWUxJNnFLZWxTVnR3 , 0 
3A6QU9xcFRPR1pkZzV1NHloNy1aOC1oMUVFUVdXSGhoaWhENW92THlMUm9YeXVQWk5vV0tfLTRNNURnZndEZVJ0S1YxbTl3M1lrajEtWFNXS1VMTjB1N1JB , 0 
Z3A6QU9xcFRPRkJNTGpGeFhBMGg2eXVJVF9sZXhGMzdRR0h0eVhRSVdTOVJIMklJVlZIU0p3THBha3NRbzN4NVF1UURLTXlJblNGSWlWUkZyam5aTkZVQWc , 0 
Z3A6QU9xcFRPR0hzMGFFSkhDRnpLWnc4T0xaTk5TajdIUy15UHhkaTRHcnM1RFVHbk5INl9IV1ZJNDJLNW1aYk9wY2xxZDUwM0x2dWgyZWc3azJFRWc2R1E , 1 
3A6QU9xcFRPSGFOQmowZGoyR0w5R25fV3ROOFJGeW1kV1dGRWk5RW0xUUVVVThvM3c1MU5IQTdfT0o5S0FrWEwzNFRDUTZmRzk5UktySFJNUlB0QWp3bUdj , 0 
Z3A6QU9xcFRPR282RzZXbkwxZEVGSTRRYWVrRk44aDd1cmxBR2k1Y1hjdlJGcnh0elpWeFMtSXkxTm52WnB5cU8zWXh5aWptVlZHTGlkNThsUkYyRmFjUnc , 0 
Z3A6QU9xcFRPRzM5UTVHdnE3Y3BCMnRqY1FnXzlZdXNCeEJlM2ZYZnZJVXdGazhXNGZKY0hqcEsyNkw3RFFSbWRLNkdTX1hRRzZpcWN6WHpCZzN5dFBjTUE , 1 
Z3A6QU9xcFRPR3ZfSk5USm41dFk4cGZoVFlld242VWFjTDRJSVp4ODVFVGhhVVE1N1RQdE9FS19MdEVWci03eTlhOEhDZENyT0Q5MHBIQ2RDMWxYQ1o1S3c , 1 
3A6QU9xcFRPSFdfV0FQdUtVNzZCNUs1YkxDQnVPazNuZ1pwNmZoZms4eXROTHZIWFF3aExnVHF3UHBXSlEwU3VNNjV6YU5DQXlGcWo3YVR1M0NwSk94TDl3 , 1 
